Date,Price,Open,High,Low,Vol,Change,Unit,vol2,Volume,Year,Source
"Sep 01, 2018",295.31,281.94,301.92,281.76,4.53M,4.74%,M,4.53,4530.00,2018,
"Aug 31, 2018",281.94,283.97,284.85,277.13,4.66M,-0.72%,M,4.66,4660.00,2018,
"Aug 30, 2018",283.97,288.41,290.91,272.85,4.99M,-1.54%,M,4.99,4990.00,2018,
"Aug 29, 2018",288.42,295.61,297.11,284.45,4.84M,-2.44%,M,4.84,4840.00,2018,
"Aug 28, 2018",295.62,286.57,297.86,282.57,4.71M,3.16%,M,4.71,4710.00,2018,
"Aug 27, 2018",286.57,274.46,286.57,271.9,4.89M,4.41%,M,4.89,4890.00,2018,
"Aug 26, 2018",274.46,277.61,281.34,269.75,4.14M,-1.14%,M,4.14,4140.00,2018,
"Aug 25, 2018",277.61,281.29,282.74,276.53,4.05M,-1.31%,M,4.05,4050.00,2018,
"Aug 24, 2018",281.29,276.12,282.71,270.91,4.90M,1.87%,M,4.90,4900.00,2018,
"Aug 23, 2018",276.12,269.84,279.19,268.94,3.94M,2.33%,M,3.94,3940.00,2018,
"Aug 22, 2018",269.84,280.9,298.2,266.4,5.03M,-3.94%,M,5.03,5030.00,2018,
"Aug 21, 2018",280.9,271.9,282.77,270.26,2.97M,3.62%,M,2.97,2970.00,2018,
"Aug 20, 2018",271.08,299.33,303.74,270.17,3.88M,-9.44%,M,3.88,3880.00,2018,
"Aug 19, 2018",299.33,293.9,306.3,289.5,3.54M,1.85%,M,3.54,3540.00,2018,
"Aug 18, 2018",293.89,316.91,320.81,282.76,4.31M,-7.26%,M,4.31,4310.00,2018,
"Aug 17, 2018",316.9,286.76,316.9,285.78,4.75M,10.51%,M,4.75,4750.00,2018,
"Aug 16, 2018",286.76,281.12,298.19,278.6,4.08M,2.01%,M,4.08,4080.00,2018,
"Aug 15, 2018",281.12,278.3,303.85,277.91,5.17M,1.06%,M,5.17,5170.00,2018,
"Aug 14, 2018",278.19,284,284,250.84,5.96M,-2.05%,M,5.96,5960.00,2018,
"Aug 13, 2018",284.01,318.2,321.22,281.17,2.33M,-10.74%,M,2.33,2330.00,2018,
"Aug 12, 2018",318.18,317.63,327.51,314.71,1.52M,0.19%,M,1.52,1520.00,2018,
"Aug 11, 2018",317.59,331.78,332.52,305.19,2.16M,-4.29%,M,2.16,2160.00,2018,
"Aug 10, 2018",331.81,363.33,365.36,326.67,1.74M,-8.68%,M,1.74,1740.00,2018,
"Aug 09, 2018",363.34,355.48,369.74,351.07,1.42M,2.22%,M,1.42,1420.00,2018,
"Aug 08, 2018",355.44,378.29,380.15,348.98,2.05M,-6.03%,M,2.05,2050.00,2018,
"Aug 07, 2018",378.25,405.38,410.57,370.06,1.63M,-6.70%,M,1.63,1630.00,2018,
